OBJECTID,Bikeway Type,Status,On Street Name,From Street Name,To Street Name,Year Completed,District,Shape__Length
1,WOL,Complete,Broadway,3rd Ave S,1st Ave S,2011,19,533.728327655879
2,BL,Complete,Division St,Buddy Killen Cir,Music Sq E,2004,19,179.751895242706
3,PBL,Complete,12th Ave S,Lawrence Ave,Division St,2023,"17, 18, 19",8166.90530922076
4,BL,Complete,Fort Negley Blvd,Chestnut St,Hamilton Ave,2014,17,1097.5147844989
5,SSR,Completed,Gale Ln,Belmont Blvd,975' SW of 8th Ave S,2024,"17, 18",6211.36375846626
6,SSR,Complete,12th Ave S,Ashwood Ave,Halcyon Ave,2007,"17, 18",2408.36727242503
7,SSR,Complete,12th Ave S,Halcyon Ave,Clayton Ave,2007,"17, 18",1763.95879232103
8,BL,Complete,Granny White Pike,Clayton Ave,Battlefield Dr,2007,"17, 18, 25",997.389461150901
9,SSR,Complete,Granny White Pike,Battlefield Dr,Woodmont Blvd,2007,25,1332.39256449401
10,SSR,Complete,Belmont Blvd,Woodmont Blvd,Shackleford Rd,2004,25,4329.34828650424
11,BL,Complete,Belmont Blvd,Gale Ln,Woodmont Blvd,2019,25,1626.24592641097
12,BBL,Complete,Belmont Blvd,S of Clayton Ave,Gale Ln,2019,"18, 25",467.401188815248
13,BBL,Complete,Belmont Blvd,Ashwood Ave,S of Clayton Ave,2020,18,4218.02867957197
14,WOL,Complete,Wedgewood Ave,Magnolia Blvd,16th Ave S,2005,"17, 18",
15,SSR,Complete,20th Ave S,Magnolia Blvd,Blair Blvd,2005,18,1654.67788866688
16,SSR,Complete,Blair Blvd,Natchez Trc,Belmont Blvd,2005,18,4896.10281022322
17,SSR,Complete,Wedgewood Ave,17th Ave S,Magnolia Blvd,2005,"17, 18",206.680721615401
18,SSR,Complete,Wedgewood Ave,21st Ave S,17th Ave S,2004,"17, 18",1517.05394709415
19,WOL,Complete,Blakemore Ave,Natchez Trc,21st Ave S,2005,18,3001.67668373291
20,SSR,Complete,Fairfax Ave,24th Ave S,21st Ave S,2005,18,1289.06743727246
21,SSR,Complete,Fairfax Ave,Natchez Trc,24th Ave S,2005,18,1743.08587843862
22,SSR,Complete,24th Ave S,Garland Ave,Blakemore Ave,2012,18,1909.49883972564
23,BL,Complete,Edgehill Ave,21st Ave S,16th Ave S,2010,"17, 19",1994.57003174612
24,SSR,Complete,Woodlawn Dr,Natchez Trc,21st Ave S,2012,18,2084.94921847499
25,BBL,Complete,Natchez Trc,Blair Blvd,Westwood Ave,2015,18,1558.56355804551
26,SSR,Complete,Woodlawn Dr,Bowling Ave,Natchez Trc,2012,"18, 24, 25",4579.95454691406
27,SSR,Complete,Blair Blvd,Marlborough Ave,Natchez Trc,2005,18,2417.79593328091
28,BL,Complete,Fairfax Ave,Marlborough Ave,Natchez Trc,2005,18,1690.91432234736
29,SSR,Complete,Marlborough Ave,Elmington Ave,Fairfax Ave,2005,"18, 24",2017.4276344008
30,SSR,Complete,31st Ave S,West End Ave,Natchez Trc,2005,"18, 21",2098.27496892456
31,BL,Complete,Woodmont Blvd,Valley Brook Rd,Hillsboro Pike,2004,25,451.475636437059
32,BL,Complete,Woodmont Blvd,Lynnbrook Rd,Valley Brook Rd,2004,"24, 25",5504.5133386861
33,BL,Complete,Elmington Ave,Richardson Ave,Sharondale Ave,2013,24,2548.46522166461
34,SSR,Complete,Woodlawn Dr,Harding Pike,Bowling Ave,2012,24,5601.84514398497
35,SSR,Complete,Hillsboro Pike,Woodmont Blvd,Harding Pl,2010,"25, 34",10002.9112753687
36,BL,Complete,Crestmoor Rd,Cleghorn Ave,Hillsboro Pike,2012,25,1763.09484844112
37,BL,Complete,Cleghorn Ave,Crestmoor Rd,Abbott Martin Rd,2012,25,1303.89193516498
38,BL,Complete,Bandywood Dr,Abbott Martin Rd,Hillsboro Cir,2013,25,1425.7919979314
39,BL,Complete,Hillsboro Cir,Abbott Martin Rd,Hobbs Rd,2012,25,1996.96208168091
40,SSR,Complete,Trousdale Dr,Baxter Ln,Broadwell Dr,2007,26,622.73376116713
41,BL,Complete,Trousdale Dr,Dillard Ct,Baxter Ln,2007,26,
42,SSR,Complete,Trousdale Dr,Harding Pike,Dillard Ct,2007,26,8643.59557557847
43,SSR,Complete,Hogan Rd,Trousdale Dr,Marchant Dr,2007,26,2921.51489100112
44,SSR,Complete,Marchant Dr,Hogan Rd,Edmondson Pike,2007,"26, 27",4057.9103797302
45,SSR,Complete,Edmondson Pike,Nolensville Pike,Old Hickory Blvd,2006,"04, 26, 27, 30",15407.5921559825
46,BL,Complete,Huntington Pkwy,Edmondson Pike,Amalie Dr,2013,27,5745.02911849107
47,BL,Complete,Tusculum Rd,Nolensville Pike,Colemont Dr,2010,"27, 30",5204.71651116829
48,BL,Complete,Ocala Dr,Wessex Dr,Tusculum Rd,2012,"27, 30, 31",
49,SSR,Complete,Ocala Dr,Nolensville Pike,Wessex Dr,2012,27,2025.68357711315
